customer_id,product,quantity
C00000,Tech_Support,1
C00000,Device_Protection,1
C00000,Premium_Support,1
C00001,Cloud_Storage,1
C00001,Fiber_Internet,1
C00001,Online_Backup,1
C00001,Online_Security,1
C00002,Phone_Line,1
C00002,Tech_Support,1
C00002,Device_Protection,1
C00002,Premium_Support,1
C00003,Streaming_Music,1
C00003,Tech_Support,1
C00003,Online_Backup,1
C00003,Streaming_TV,1
C00004,Streaming_Music,1
C00004,Online_Backup,1
C00004,Streaming_TV,1
C00005,Tech_Support,1
C00005,Premium_Support,1
C00006,Streaming_Music,1
C00006,Tech_Support,1
C00006,Device_Protection,1
C00006,Premium_Support,1
C00007,Cloud_Storage,1
C00007,Online_Backup,1
C00007,Premium_Support,1
C00007,Fiber_Internet,1
C00007,Online_Security,1
C00008,Fiber_Internet,1
C00008,Online_Backup,1
C00008,Online_Security,1
C00009,Tech_Support,1
C00009,Device_Protection,1
C00009,Premium_Support,1
C00010,Tech_Support,1
C00010,Cloud_Storage,1
C00010,Streaming_Music,1
C00010,Device_Protection,1
C00010,Streaming_TV,1
C00010,Premium_Support,1
C00011,Fiber_Internet,1
C00011,Online_Security,1
C00012,Phone_Line,1
C00012,Cloud_Storage,1
C00012,Streaming_Music,1
C00013,Phone_Line,1
C00013,Cloud_Storage,1
C00013,Streaming_Music,1
C00013,Streaming_TV,1
C00013,Premium_Support,1
C00014,Streaming_Music,1
C00014,Streaming_TV,1
C00015,Fiber_Internet,1
C00015,Online_Backup,1
C00015,Online_Security,1
C00016,Cloud_Storage,1
C00016,Online_Backup,1
C00016,Premium_Support,1
C00016,Fiber_Internet,1
C00016,Online_Security,1
C00017,Streaming_Music,1
C00017,Tech_Support,1
C00017,Device_Protection,1
C00017,Premium_Support,1
C00018,Fiber_Internet,1
C00019,Tech_Support,1
C00019,Device_Protection,1
C00019,Premium_Support,1
C00020,Phone_Line,1
C00020,Cloud_Storage,1
C00020,Streaming_Music,1
C00020,Streaming_TV,1
C00020,Online_Security,1
C00021,Tech_Support,1
C00021,Online_Backup,1
C00021,Premium_Support,1
C00021,Fiber_Internet,1
C00021,Online_Security,1
C00022,Phone_Line,1
C00022,Cloud_Storage,1
C00022,Streaming_TV,1
C00022,Premium_Support,1
C00022,Online_Security,1
C00023,Fiber_Internet,1
C00023,Online_Backup,1
C00023,Online_Security,1
C00024,Phone_Line,1
C00024,Streaming_Music,1
C00024,Streaming_TV,1
C00024,Online_Backup,1
C00024,Fiber_Internet,1
C00024,Online_Security,1
C00025,Fiber_Internet,1
C00025,Online_Backup,1
C00025,Online_Security,1
C00026,Tech_Support,1
C00026,Device_Protection,1
C00026,Premium_Support,1
C00027,Tech_Support,1
C00027,Cloud_Storage,1
C00027,Device_Protection,1
C00027,Premium_Support,1
C00028,Streaming_Music,1
C00028,Online_Backup,1
C00028,Streaming_TV,1
C00029,Tech_Support,1
C00029,Premium_Support,1
C00030,Phone_Line,1
C00031,Tech_Support,1
C00031,Cloud_Storage,1
C00031,Device_Protection,1
C00031,Premium_Support,1
C00032,Phone_Line,1
C00032,Streaming_TV,1
C00032,Online_Backup,1
C00032,Premium_Support,1
C00032,Fiber_Internet,1
C00032,Online_Security,1
C00033,Fiber_Internet,1
C00033,Online_Backup,1
C00033,Online_Security,1
C00034,Fiber_Internet,1
C00034,Online_Backup,1
C00034,Online_Security,1
C00035,Fiber_Internet,1
C00035,Online_Security,1
C00036,Tech_Support,1
C00036,Online_Backup,1
C00036,Device_Protection,1
C00036,Premium_Support,1
C00037,Streaming_Music,1
C00037,Streaming_TV,1
C00038,Phone_Line,1
C00038,Online_Security,1
C00038,Cloud_Storage,1
C00038,Streaming_Music,1
C00039,Fiber_Internet,1
C00039,Online_Backup,1
C00039,Online_Security,1
C00039,Premium_Support,1
C00040,Fiber_Internet,1
C00041,Tech_Support,1
C00041,Fiber_Internet,1
C00041,Online_Backup,1
C00041,Online_Security,1
C00042,Phone_Line,1
C00042,Cloud_Storage,1
C00043,Phone_Line,1
C00043,Fiber_Internet,1
C00043,Online_Backup,1
C00043,Online_Security,1
C00044,Tech_Support,1
C00044,Streaming_Music,1
C00044,Streaming_TV,1
C00044,Device_Protection,1
C00044,Premium_Support,1
C00045,Tech_Support,1
C00045,Premium_Support,1
C00046,Phone_Line,1
C00046,Cloud_Storage,1
C00047,Phone_Line,1
C00047,Cloud_Storage,1
C00047,Streaming_TV,1
C00047,Online_Backup,1
C00047,Premium_Support,1
C00047,Fiber_Internet,1
C00048,Cloud_Storage,1
C00048,Streaming_Music,1
C00048,Streaming_TV,1
C00048,Online_Backup,1
C00048,Fiber_Internet,1
C00049,Phone_Line,1
C00049,Tech_Support,1
C00049,Cloud_Storage,1
C00049,Streaming_TV,1
C00049,Online_Security,1
